detention_facility_code,detention_facility,area_of_responsibility
FAICOVA,FAIRFAX CO JAIL,Washington Area of Responsibility
FAYETKY,FAYETTE COUNTY DETENTION CENTER,Chicago Area of Responsibility
FAYHOLD,FAYETTEVILLE HOLD ROOM,New Orleans Area of Responsibility
FCLT8CA,FACILITY 8 DETENTION FACILITY,San Diego Area of Responsibility
FCOHOLD,FREDERICK HOLDROOM,NA
FDLHOLD,FERNDALE HOLD ROOM,Seattle Area of Responsibility
FINNEKS,FINNEY COUNTY JAIL,Chicago Area of Responsibility
FIPCAGA,FOLKSTON ANNEX IPC,Atlanta Area of Responsibility
FIPCMGA,FOLKSTON MAIN IPC,Atlanta Area of Responsibility
FLATHMT,FLATHEAD COUNTY JAIL,NA
FLBAKCI,BAKER C. I.,Miami Area of Responsibility
FLBHCFL,FT LAUDERDALE BEHAVOR HLTH CTR,NA
FLBREVC,BREVARD CORRECTIONAL,Miami Area of Responsibility
FLDADCI,DADE CORRECTIONAL INST,Miami Area of Responsibility
FLHOSFL,FORT LAUDERDALE HOSPITAL,NA
FLMARIC,MARION CORRECTIONAL INST.,Miami Area of Responsibility
FLO,FLORENCE SPC,Phoenix Area of Responsibility
FLORHAZ,FLORENCE HOSPITAL,Phoenix Area of Responsibility
FLOYDGA,FLOYD COUNTY JAIL,Atlanta Area of Responsibility
FLSPSTA,"FLORIDA ST. PRIS.,STARKE",Miami Area of Responsibility
FMYHOLD,FORT MYERS ERO HOLDROOM,Miami Area of Responsibility
FNDDUWI,FOND DU LAC COUNTY SHERIFF/JAIL,Chicago Area of Responsibility
FORSYNC,FORSYTH COUNTY JAIL,NA
FPSSAWA,FOUR PTS SHERATON SEA AP,NA
FRACOVT,"FRANKLIN COUNTY JAIL, VT",Boston Area of Responsibility
FRDHOLD,FREDERICK HOLDROOM,Denver Area of Responsibility
FRECOCA,FRESNO COUNTY JAIL,NA
FREDEMD,FREDERICK COUNTY DET. CEN,Baltimore Area of Responsibility
FREEBMN,"FREEBORN COUNTY JAIL, MN",St. Paul Area of Responsibility
FREESTX,FREESTONE COUNTY JAIL,Houston Area of Responsibility
FREHOLD,FRESNO HOLDROOM,San Francisco Area of Responsibility
FREMOCO,"FREMONT COUNTY JAIL, CO",Denver Area of Responsibility
FRFLDWY,FAIRFIELD INN & SUITES,NA
FRIOCTX,FRIO COUNTY JAIL,San Antonio Area of Responsibility
FRIRHTX,FRIO REGIONAL HOSPITAL,San Antonio Area of Responsibility
FRMVLVA,ICA - FARMVILLE,Washington Area of Responsibility
FSAHOLD,FORT SMITH HOLDROOM,New Orleans Area of Responsibility
FSF,FLORENCE STAGING FACILITY,Phoenix Area of Responsibility
FXADCVA,FAIRFAX CO. ADULT DETENTION CENTER,Washington Area of Responsibility
GADRYJM,D. RAY JAMES PRISON,Atlanta Area of Responsibility
GALLAMT,GALLATIN COUNTY JAIL,NA
GARVIOK,GARVIN COUNTY JAIL,Dallas Area of Responsibility
GASTNNC,GASTON COUNTY JAIL,Atlanta Area of Responsibility
GCLECOK,GRADY COUNTY LAW ENFORCEMENT CTR,Dallas Area of Responsibility
GCPFCKS,GARDEN CITY PROCESSING @ FINNEY CO,Chicago Area of Responsibility
GEAUGOH,GEAUGA COUNTY JAIL (GEAUGOH),Detroit Area of Responsibility
GENESNY,GENESEE COUNTY JAIL,New York City Area of Responsibility
GFCORND,GRAND FORKS COUNTY CORREC,St. Paul Area of Responsibility
GFJUVND,GRAND FORKS CO. JUVENILE,St. Paul Area of Responsibility
GJCHOLD,GRAND JUNCTION HOLDROOM,Denver Area of Responsibility
GLADEFL,GLADES COUNTY DETENTION CENTER,Miami Area of Responsibility
GLDSACA,GOLDEN STATE ANNEX,San Francisco Area of Responsibility
GLEPDCA,GLENDALE POLICE DEPT,Los Angeles Area of Responsibility
GMHATGA,GRADY MEMORIAL HOSPITAL,Atlanta Area of Responsibility
GOODCID,GOODING COUNTY JAIL,NA
GPCHOLD,GREAT PLAINS CI HOLDROOM,NA
GRAHAAZ,GRAHAM CO JAIL SAFFORD AZ,Phoenix Area of Responsibility
GRAYSKY,GRAYSON COUNTY DETENTION CENTER,Chicago Area of Responsibility
GREENMA,FRANKLIN HOUSE OF CORRECTIONS,Boston Area of Responsibility
GREENMO,GREENE COUNTY JAIL,Chicago Area of Responsibility
GRFHOLD,GRAND FORKS HOLD ROOM,St. Paul Area of Responsibility
GRIHOLD,GRAND ISLAND HOLD ROOM,St. Paul Area of Responsibility
GRMHOLD,GRAND RAPIDS HOLDROOM,Detroit Area of Responsibility
GRRHOLD,GREER HOLD ROOM,NA
GRYDCKY,GRAYSON COUNTY DET CENTER (FEMALE),Chicago Area of Responsibility
GSAMHCA,GOOD SAMARITAN HOSPITAL,San Francisco Area of Responsibility
GSCHOLD,GLENWOOD SPRINGS HOLDROOM,Denver Area of Responsibility
GUADATX,GUADALUPE CTY JAIL,San Antonio Area of Responsibility
GUDOCHG,DEPT OF CORRECTIONS-HAGATNA,San Francisco Area of Responsibility
GWINNGA,GWINNETT COUNTY JAIL,Atlanta Area of Responsibility
HACMCNJ,HACKENSACK MED CTR,New York City Area of Responsibility
HACTCND,HEART OF AMERICA CORR,St. Paul Area of Responsibility
HAILEID,HAILE DET. CENTER,NA
HALLJGA,HALL CO JAIL,Atlanta Area of Responsibility
HAMILTX,HAMILTON COUNTY JAIL (TX),Houston Area of Responsibility
HAMPDMA,HAMPDEN CO.HOUSE OF CORR.,Boston Area of Responsibility
HAMPITX,HAMPTON INN PEARSALL,NA
HARDEFL,HARDEE COUNTY JAIL,Miami Area of Responsibility
HARDJIA,HARDIN CO JAIL,St. Paul Area of Responsibility
HARFOCT,HARTFORD CORR CENTER,Boston Area of Responsibility
HARHOLD,HARTFORD OFFICE,Boston Area of Responsibility
HARRIGA,HARRIS COUNTY JAIL,Atlanta Area of Responsibility
HASHENE,HALL COUNTY SHERIFF,St. Paul Area of Responsibility
HASKLTX,ROLLING PLAINS DETENTION CENTER,Dallas Area of Responsibility
HASMHTX,HASKELL MEMORIAL HOSPITAL,NA
HAVACTX,HOTEL AVA CASA DO TRANQUILIDADE,Harlingen Area of Responsibility
HBGHOLD,HARRISONBURG HOLD ROOM,Washington Area of Responsibility
HCAFMFL,HCA FLORIDA MEMORIAL HOSPITAL,Miami Area of Responsibility
HCAHCTX,HCA HOUSTON HC CONROE,Houston Area of Responsibility
HCPSCMS,HANCOCK CO PUB SFTY CPLX,NA
HCPSYTX,HARRIS COUNTY PSYCHIATRIC CENTER,Harlingen Area of Responsibility
HDHSPNV,HENDERSON HOSPITAL,Salt Lake City Area of Responsibility
HDLGOTX,HIDALGO POLICE DEPT.,Harlingen Area of Responsibility
HELHOLD,HEL DISTRICT CUSTODY,Salt Lake City Area of Responsibility
HENDENC,HENDERSON COUNTY DET. FAC.,Atlanta Area of Responsibility
HENDENV,HENDERSON DETENTION,Salt Lake City Area of Responsibility
HENDETX,HENDERSON COUNTY JAIL,NA
HENDRFL,HENDRY COUNTY JAIL,Miami Area of Responsibility
HENHOLD,HENDERSONVILLE HOLD ROOM,NA
HESPCAZ,HOLIDAY INN EXPRESS CASA DE LA LUZ,NA
HHBTHTX,HARRIS HEALTH BEN TAUB HOSPITAL,Houston Area of Responsibility
HHCHKTX,HOUSTON HEALTHCARE HOSP,Houston Area of Responsibility
HHWHOLD,ERO HONOLULU SUB-OFFICE HOLD ROOM,San Francisco Area of Responsibility
HIDALNM,HIDALGO COUNTY DETENTION CENTER,El Paso Area of Responsibility
HIDALTX,HIDALGO COUNTY SHERIFF'S JAIL,Harlingen Area of Responsibility
HIELPTX,HOLIDAY INN EXPRESS & SUITES,NA
HIESATX,HOLIDAY INN EXP SAN ANTONIO,NA
HIESPAZ,HOLIDAY INN EXP PHOENIX,NA
HIEXSTX,HOLIDAY INN EXPR & STES PEARSALL,NA
HILLCMT,HILL COUNTY JUSTICE CENTER,NA
HIPANAZ,HAMPTON INN PHO AIRPORT N,NA
HIPDBAZ,HOLIDAY INN PHO DWTN BALLPARK,NA
HIRAYTX,HOLIDAY INN EXPRESS & SUITES,NA
HISAXLA,HAMPTON INN & STES ALEXANDRIA,NA
HISDBCA,HOLIDAY INN SND BAYSIDE,NA
HISEPTX,HAMPTON INN & STES ELP AP,NA
HISMCTX,HAMPTON INN & STES MCALLEN,NA
HISPAAZ,HOLIDAY INN & STE PHO AP,NA
HLGHOLD,HARLINGEN HOLD ROOM,Harlingen Area of Responsibility
HLYCHIL,HOLY CROSS HOSPITAL,NA
HMCHOTX,HARLINGEN MEDICAL CENTER,Harlingen Area of Responsibility
HNDMCTX,HENDRICK MEDICAL CENTER,Dallas Area of Responsibility
HNRMCFL,HENDRY REGIONAL MEDICAL CENTER,Miami Area of Responsibility
HOLIETX,HOLIDAY INN EXP SNA AP,NA
HOSPSPR,HOSPITAL PAVIA-SANTURCE,Miami Area of Responsibility
HOTELMA,RAMADA HOTEL,Boston Area of Responsibility
HOUGTTX,GREENTREE INN HOUSTON IAH AIRPORT,Houston Area of Responsibility
HOUHOLD,HOUSTON FO HOLDROOM,Houston Area of Responsibility
HOUICDF,HOUSTON CONTRACT DET.FAC.,Houston Area of Responsibility
HOWARMD,HOWARD COUNTY DET CNTR,Baltimore Area of Responsibility
HRLGNTX,HARLINGEN POLICE DEPT.,Harlingen Area of Responsibility
HRREGVA,HAMPTON ROADS REGIONAL JAIL,Washington Area of Responsibility
HSELPTX,HAWTHORN STES EL PASO AIRP,NA
HSF,HARLINGEN STAGING FACILITY,Harlingen Area of Responsibility
HTLPPTX,HOTEL PHARR PLAZA,NA
HUDSONJ,HUDSON COUNTY JAIL,New York City Area of Responsibility
HUDSPTX,HUDSPETH COUNTY JAIL,El Paso Area of Responsibility
IAHSFTX,GEORGE BUSH INTERCONTINENTAL,NA
IBPSMIA,MIAMI BORDER PATROL,Miami Area of Responsibility
IFIHOLD,IDAHO FALLS HOLD ROOM,NA
ILPICKN,PINCKNEYVILLE CORRECTIONAL CENTER,Chicago Area of Responsibility
IMPCOCA,IMPERIAL COUNTY JAIL,San Diego Area of Responsibility
IMPHOLD,IMPERIAL SUB OFFICE HOLD ROOM,NA
INDCMIC,IN DEPT. OF CORRECTIONS,Chicago Area of Responsibility
INPHOLD,INDIANAPOLIS HOLD ROOM,Chicago Area of Responsibility
IRADFCA,IMPERIAL REGIONAL ADULT DET FAC,San Diego Area of Responsibility
IRWINGA,IRWIN COUNTY DETENTION CENTER,Atlanta Area of Responsibility
ISHOSNY,"BETH ISRAEL HOSPITAL, MANHATTAN",New York City Area of Responsibility
IWAHOLD,AZ REM OP COORD CENTER (AROCC),Phoenix Area of Responsibility
JACKSOR,JACKSON CO JAIL,Seattle Area of Responsibility
JACKSTN,JACKSON COUNTY SHERIFF,New Orleans Area of Responsibility
JAJUVOR,JACKSON COUNTY JUVENILE,Seattle Area of Responsibility
JAKHOLD,JACKSON MS HOLD ROOM,New Orleans Area of Responsibility
JAMESGA,MAIN FOLKSTON IPC DRJAMES,Atlanta Area of Responsibility
JAXHOLD,JACKSONVILLE SUB-OFFICE,Miami Area of Responsibility
JCRLYTX,JOE CORLEY PROCESSING CTR,Houston Area of Responsibility
JEFFEID,JEFFERSON COUNTY JAIL,NA
JEFFEIL,JEFFERSON COUNTY JAIL,Chicago Area of Responsibility
JEFFEMT,JEFFERSON COUNTY JAIL,Salt Lake City Area of Responsibility
JEFFENY,JEFFERSON COUNTY JAIL,New York City Area of Responsibility
JEFFETX,JEFFERSON COUNTY JAIL,NA
JENADLA,CENTRAL LOUISIANA ICE PROC CTR,New Orleans Area of Responsibility
JENATLA,ALEXANDRIA STAGING FACILITY,New Orleans Area of Responsibility
JFKTSNY,JFK INTERNATIONAL AP - T7,NA
JHALLCA,SAN DIEGO COUNTY JUV.HALL,San Diego Area of Responsibility
JHMCJNY,Jamaica Hospital Med Ctr,New York City Area of Responsibility
JHRWLTX,JACK HARWELL DETENTION CENTER,Houston Area of Responsibility
JKPCCLA,JACKSON PARISH CORRECTIONAL CENTER,New Orleans Area of Responsibility
JMHOSFL,JACKSON MEMORIAL HOSPITAL,Miami Area of Responsibility
JOHNSTX,JOHNSON COUNTY JAIL,Dallas Area of Responsibility
JOSEPOR,JOSEPHINE CO. JAIL,Seattle Area of Responsibility
JYCMCNJ,JERSEY CITY MED CTR,New York City Area of Responsibility
KANDIMN,KANDIYOHI CO. JAIL,St. Paul Area of Responsibility
KANECIL,KANE COUNTY JAIL,Chicago Area of Responsibility
KANHOLD,KANSAS CITY HOLDROOM,Chicago Area of Responsibility
KANKEIL,KANKAKEE COUNTY JAIL,Chicago Area of Responsibility
KARNETX,KARNES CTY CORR CTR,San Antonio Area of Responsibility
KCCDCTX,KARNES COUNTY CIVIL DET. FACILITY,San Antonio Area of Responsibility
KCHOSNY,KINGS COUNTY HOSPITAL,New York City Area of Responsibility
KCOJFOK,KAY CO JUSTICE FACILITY,Chicago Area of Responsibility
KENOSWI,KENOSHA COUNTY JAIL,NA
KENTCMI,"KENT CO.,GRAND RAPIDS,MI",Detroit Area of Responsibility
KERCOCA,KERN COUNTY JAIL (LERDO),San Francisco Area of Responsibility
KERNHCA,KERN MEDICAL HOSPITAL,San Francisco Area of Responsibility
KINNETX,KINNEY COUNTY JAIL,San Antonio Area of Responsibility
KITTIWA,KITTITAS COUNTY JAIL,Seattle Area of Responsibility
KLAMCOR,KLAMATH CO JAIL,Seattle Area of Responsibility
KNXDFTN,KNOX COUNTY DETENTION FACILITY,New Orleans Area of Responsibility
KNXHOLD,KNOXVILLE HOLD ROOM,New Orleans Area of Responsibility
KODIAAK,KODIAK CITY JAIL,Seattle Area of Responsibility
KRHUBFL,KROME/MIAMI HUB,Miami Area of Responsibility
KRNRCTX,KARNES CO IMMIGRATION PROCESS CTR,San Antonio Area of Responsibility
KRO,KROME NORTH SPC,Miami Area of Responsibility
KROHOLD,KROME HOLD ROOM,NA
LACKAPA,"LACKAWANA CNTY JAIL, PA",Philadelphia Area of Responsibility
LAFERTX,LA FERIA POLICE DEPT.,Harlingen Area of Responsibility
LAKMCFL,LAKESIDE MEDICAL CENTER,NA
LANCACA,MIRA LOMA DET.CENTER,Los Angeles Area of Responsibility
LANECOR,LANE CO JAIL,Seattle Area of Responsibility
LAPAZAZ,LA PAZ COUNTY ADULT DET. FAC.,Phoenix Area of Responsibility
LAPLACO,LA PLATA COUNTY JAIL,Denver Area of Responsibility
LARCOWY,LARAMIE COUNTY JAIL,Denver Area of Responsibility
LARIMCO,LARIMER COUNTY JAIL,Denver Area of Responsibility
LASALTX,LASALLE COUNTY JAIL,San Antonio Area of Responsibility
LASHOLD,LAS CRUCES HOLD ROOM,El Paso Area of Responsibility
LASWOCA,LAS COLINAS WOMEN DET FAC,San Diego Area of Responsibility
LAURITX,LAUREL RIDGE TREATMENT CTR,San Antonio Area of Responsibility
LAVACTX,LAVACA COUNTY JAIL,NA
LAWINCI,WINN CORRECTIONAL CENTER,New Orleans Area of Responsibility
LAWREPA,LAWRENCE COUNTY JAIL,Philadelphia Area of Responsibility
LBKHOLD,LUBBOCK HOLD ROOM,Dallas Area of Responsibility
LCIMCTX,LA COPA INN HOTEL,NA
LDFHOLD,LOVELAND HOLDROOM,NA
LEACONM,LEA COUNTY JAIL,El Paso Area of Responsibility
LEHIGPA,"LEHIGH COUNTY JAIL, PA",Philadelphia Area of Responsibility
LEVYCFL,LEVY COUNTY JAIL,Miami Area of Responsibility
LEWISMT,LEWIS & CLARK COUNTY JAIL,Salt Lake City Area of Responsibility
LEWISNY,LEWIS COUNTY JAIL,New York City Area of Responsibility
LEXFCKY,LEXINGTON PROCESSING @ FAYETTE CO,Chicago Area of Responsibility
LEXINSC,LEXINGTON COUNTY JAIL,NA
LFRESTX,LOS FRESNOS POLICE DEPT.,Harlingen Area of Responsibility
LIMCJTX,LIMESTONE COUNTY JAIL,Houston Area of Responsibility
LIMESTX,LIMESTONE DET CENTER,Houston Area of Responsibility
LIMMCTX,LIMESTON MEDICAL CENTER,Houston Area of Responsibility
LINCOMO,LINCOLN COUNTY SHERIFF'S,Chicago Area of Responsibility
LINCONE,LINCOLN COUNTY JAIL,St. Paul Area of Responsibility
LINNCOR,LINN CO JAIL,Seattle Area of Responsibility
LINNJIA,LINN COUNTY JAIL,St. Paul Area of Responsibility
LIVINNY,LIVINGSTON COUNTY JAIL,NA
LKLNDLA,LAKELAND NURSING HOME,New Orleans Area of Responsibility
LLUMCCA,LOMA LINDA UNIVERSITY MED CENTER,Los Angeles Area of Responsibility
LONPDAR,LONOKE POLICE DEPT DET.CTR,New Orleans Area of Responsibility
LOSCJCA,LOS ANGELES COUNTY JAIL-TWIN TOWER,Los Angeles Area of Responsibility
LOSHOLD,LOS CUST CASE,Los Angeles Area of Responsibility
LOUCOVA,LOUDOUN COUNTY,Washington Area of Responsibility
LOUHOLD,LOUISVILLE HOLD ROOM,Chicago Area of Responsibility
LPAPSAZ,LA PALMA CORR CTR APSO,Phoenix Area of Responsibility
LPD77CA,LOS ANGELES POLICE PD 77TH DIV.,Los Angeles Area of Responsibility
LPLCCAZ,LA PALMA CORRECTIONAL CENTER,Phoenix Area of Responsibility
LQSNATX,LA QUINTA INN BY WYNDHAM SNA,NA
LQWCSTX,LA QUINTA WYNDHAM CASA DO SONHO,San Antonio Area of Responsibility
LRAHOLD,LITTLE ROCK HOLD ROOM,New Orleans Area of Responsibility
LRDHOLD,LAREDO DETENTION CENTER HOLD ROOM,Harlingen Area of Responsibility
LRDICDF,LAREDO PROCESSING CENTER,Harlingen Area of Responsibility
LRDMCTX,LAREDO MEDICAL CENTER,Harlingen Area of Responsibility
LRKBHFL,LARKIN BEHAVIORAL HEALTH SVCS,Miami Area of Responsibility
LRKMCFL,LOWER KEYS MEDICAL CENTER,NA
LRKNHFL,LARKIN HOSPITAL,Miami Area of Responsibility
LSFHOLD,LOS FRESNOS HOLD ROOM,Harlingen Area of Responsibility
LSHOSMA,LEMUEL SHATTUCK HOSPITAL,Boston Area of Responsibility
LSRDCTX,LA SALLE CO REGIONAL DET. CENTER,San Antonio Area of Responsibility
LTVHOLD,"LORTON, VA HOLD ROOM",NA
LUBBOTX,LUBBOCK COUNTY JAIL,Dallas Area of Responsibility
LUFKNTX,LUFKIN POLICE DEPT.,NA
LVGHOLD,LAS VEGAS HOLD ROOM,Salt Lake City Area of Responsibility
LYOLAIL,LOYOLA CENTER FOR HEALTH,NA
MABSHOS,BWATER ST HOSP BRIDGEWATE,Boston Area of Responsibility
MACCOMI,"MACOMB CO.MT.CLEMENS,MI.",Detroit Area of Responsibility
MADISID,MADISON COUNTY JAIL,NA
MADISMS,"MADISON CO. JAIL, MS.",New Orleans Area of Responsibility
MADISNY,MADISON COUNTY JAIL,New York City Area of Responsibility
MAHONOH,MAHONING COUNTY JAIL,Detroit Area of Responsibility
MANATFL,MANATEE COUNTY DETENTION-ANNEX,Miami Area of Responsibility
MANHOLD,MANCHESTER HOLDROOM,Boston Area of Responsibility
MAPLEOH,MAPLE HEIGHTS CITY JAIL,Detroit Area of Responsibility
MARICOR,MARION CO JAIL,Seattle Area of Responsibility
MARIOIN,MARION COUNTY JAIL,Chicago Area of Responsibility
MARSHIA,MARSHALL COUNTY JAIL,St. Paul Area of Responsibility
MARTIFL,MARTIN COUNTY JAIL,Miami Area of Responsibility
MARTNTX,MARTIN COUNTY JAIL,El Paso Area of Responsibility
MATEWKS,TEWKSBURY STATE HOSPITAL,Boston Area of Responsibility
MATSHOS,TAUNTON STATE HOSPITAL,Boston Area of Responsibility
MAVERTX,MAVERICK COUNTY JAIL,San Antonio Area of Responsibility
MCAHOLD,MCALLEN HOLD ROOM,Harlingen Area of Responsibility
MCCLETX,MCLENNAN COUNTY JAIL,Houston Area of Responsibility
MCFAJAZ,MARICOPA COUNTY JAIL,Phoenix Area of Responsibility
MCHENIL,MCHENRY COUNTY SHERIFF'S,Chicago Area of Responsibility
MCKINNM,MCKINLEY COUNTY ADULT DET. CEN.,El Paso Area of Responsibility
MCMEDAZ,MARICOPA MEDICAL CENTER,Phoenix Area of Responsibility
MEADESD,"MEADE CO. JAIL, SD",St. Paul Area of Responsibility
MECKLNC,MECKLENBURG (NC) CO JAIL,Atlanta Area of Responsibility
MEDHOLD,MEDFORD SUB-OFFICE,Seattle Area of Responsibility
MEMHOCA,MEMORIAL HOSPITAL BAKERSFIELD,San Francisco Area of Responsibility
MEMHOLD,MEMPHIS HOLD ROOM,New Orleans Area of Responsibility
MEMRHFL,MEMORIAL REGIONAL HOSP.,Miami Area of Responsibility
MERCEIL,MERCER COUNTY CORRECTIONS,Chicago Area of Responsibility
MERCYFL,MERCY HOSPITAL,NA
MESJACO,MESA COUNTY JAIL,Denver Area of Responsibility
METROFL,METRO DADE JAIL,Miami Area of Responsibility
MEYTHCT,MAINE YOUTH CENTER - LONG CREEK,Boston Area of Responsibility
MHMSATX,METHODIST HOSPITAL METROPOLITAN,San Antonio Area of Responsibility
MHNHHTX,MEMORIAL HERMANN NW HOSP,Houston Area of Responsibility
MHNSATX,METHODIST HOSPITAL NORTHEAST,San Antonio Area of Responsibility
MHSOSTX,METHODIST HOSPITAL STONE OAK,San Antonio Area of Responsibility
MHTFHOH,MERCY HEALTH - TIFFIN HOSPITAL,Detroit Area of Responsibility
MHTSATX,METHODIST HOSPITAL TEXSAN,San Antonio Area of Responsibility
MIAHOLD,MIAMI (MIRAMAR) HOLD ROOM,Miami Area of Responsibility
MIDLATX,MIDLAND DETENTION CENTER,El Paso Area of Responsibility
MILHOLD,MILWAUKEE HOLDROOM,Chicago Area of Responsibility
MILLRAR,MILLER COUNTY JAIL,New Orleans Area of Responsibility
MINICID,MINICASSIA DET. CENTER,NA
MINNESD,MINNEHAHA COUNTY JAIL,St. Paul Area of Responsibility
MIRHPRI,MIRIAM HOSPITAL,Boston Area of Responsibility
MISCOMO,MISSISSIPPI COUNTY DETENTION CENTE,Chicago Area of Responsibility
MISSOMT,MISSOULA COUNTY,Salt Lake City Area of Responsibility
MIWPRPH,WALTER REUTHER PSYCHIATRIC CENTER,Detroit Area of Responsibility
MLDHOLD,"MIDLAND, TX ERO HOLDROOM",El Paso Area of Responsibility
MLJHOLD,MOUNT LAUREL HOLD ROOM,NA
MLPHHMI,MCLAREN PORT HURON HOSP,Detroit Area of Responsibility
MNROEMI,MONROE COUNTY SHERIFF/JAIL-MAIN,Detroit Area of Responsibility
MNTGMAL,MONTGOMERY CITY JAIL,New Orleans Area of Responsibility
MOFFECO,MOFFAT COUNTY JAIL,Denver Area of Responsibility
MONCJAL,MONTGOMERY CITY JAIL,New Orleans Area of Responsibility
MONMONJ,MONMOUTH COUNTY JAIL,Newark Area of Responsibility
MONROFL,MONROE COUNTY JAIL,Miami Area of Responsibility
MONROMI,MONROE COUNTY DETENTION-DORM,Detroit Area of Responsibility
MONTGAL,MONTGOMERY CO MAC SIM BUTLER D.F.,New Orleans Area of Responsibility
MONTGMO,MONTGOMERY COUNTY JAIL,Chicago Area of Responsibility
MONTGPA,"MONTGOMERY CNTY JAIL, PA",Philadelphia Area of Responsibility
MONTGTX,MONTGOMERY COUNTY JAIL,Houston Area of Responsibility
MORGNMO,MORGAN COUNTY SHERIFF'S DEPT,Chicago Area of Responsibility
MOROWOH,MORROW CO. CORRECTIONAL FACILITY,Detroit Area of Responsibility
MOUNTND,"MOUNTRAIL CO. JAIL, ND",St. Paul Area of Responsibility
MPSIPAN,SAIPAN DEPARTMENT OF CORRECTIONS,San Francisco Area of Responsibility
MRCDSTX,MERCEDES POLICE DEPT.,Harlingen Area of Responsibility
MRREGVA,MIDDLE RIVER REGIONAL JAIL,Washington Area of Responsibility
MSF,MIAMI STAGING FACILITY,Miami Area of Responsibility
MSKGNMI,MUSKEGON COUNTY JAIL,Detroit Area of Responsibility
MSTHSTX,METHODIST SPECIALTY TRANSPLANT HOS,San Antonio Area of Responsibility
MSVPCPA,MOSHANNON VALLEY PROCESSING CENTER,Philadelphia Area of Responsibility
MTGHOLD,MONTGOMERY HOLD RM,NA
MTGPCTX,MONTGOMERY PROCESSING CTR,Houston Area of Responsibility
MTHOSTX,METHODIST HOSPITAL SOUTH,San Antonio Area of Responsibility
MTNITPA,MOUNT NITTANY MEDICAL CENTER,Philadelphia Area of Responsibility
MUSCAIA,MUSCATINE COUNTY JAIL,St. Paul Area of Responsibility
MUSIKCA,JAMES A MUSICK FACILITY,Los Angeles Area of Responsibility
MUSSEMT,MUSSELSHELL COUNTY JAIL,Salt Lake City Area of Responsibility
MVMCMAZ,MOUNTAIN VISTA MED CTR,Phoenix Area of Responsibility
MVPNHPA,PENN HIGHLANDS CLEARFIELD,Philadelphia Area of Responsibility
MWASHVA,MARY WASHINGTON HOSPITAL,Washington Area of Responsibility
NASHUMA,NASHUA ST. JAIL,Boston Area of Responsibility
NASSANY,NASSAU CO CORREC CENTER,New York City Area of Responsibility
NATCHLA,NATCHITOCHES PARISH DET. CENTER,New Orleans Area of Responsibility
NATROWY,NATRONA COUNTY JAIL,Denver Area of Responsibility
NAVSOAZ,NAVAJO COUNTY SHERIFF,Phoenix Area of Responsibility
NBGHOLD,NEWBURGH HOLDING,New York City Area of Responsibility
NBRMCFL,NORTH BROWARD MEDICAL CENTER,Miami Area of Responsibility
NCBHOTX,NORTH CENTRAL BAPTIST HOSPITAL,San Antonio Area of Responsibility
NEBHSTX,NORTHEAST BAPTIST HOSPITAL,San Antonio Area of Responsibility
NEWHOLD,NEW/INS OS HOLD ROOM,Newark Area of Responsibility
NFMIGFL,NEIGHBOR-FAMILY MIAMI GARDENS,NA
NFSMTGA,"NEIGHBOR-FAMILY, STONE MOUNTAIN",NA
NGDCTGA,NORTH GEORGIA DETENTION CENTER,Atlanta Area of Responsibility
NIXHCTX,NIX HOME CARE,NA
NMCOMNE,NEBRASKA MED CTR OMAHA,St. Paul Area of Responsibility
NNREGVA,NORTHERN NECK REG. JAIL,Washington Area of Responsibility
NNVMCNV,NORTHERN NEVADA MED CTR,Salt Lake City Area of Responsibility
NOBLEMN,NOBLES CO. JAIL,St. Paul Area of Responsibility
NOJUVOR,NORTHERN OREGON JUV.DET.,Seattle Area of Responsibility
NOLHOLD,NEW ORLEANS HOLD ROOM,New Orleans Area of Responsibility
NOLVGNV,NORTH LAS VEGAS,NA
NORCOOR,NORTHERN OREGON CORR.FAC.,Seattle Area of Responsibility
NORFOMA,NORFLK CNTY DEDHAM,Boston Area of Responsibility
NORFOVA,NORFOLK CITY JAIL,Washington Area of Responsibility
NORHOLD,NORFOLK SUB-OFFICE HOLD,Washington Area of Responsibility
NRJDCVA,NW REG JUV DET CTR,NA
NRPHOLD,NORTH PLATTE HOLD ROOM,St. Paul Area of Responsibility
NRVRJVA,NEW RIVER VALLEY REG. JAIL,Washington Area of Responsibility
NVJDCVA,NO. VA. JUVENILE DET - ICE,Washington Area of Responsibility
NVSDCNV,NEVADA SOUTHERN DETENTION CENTER,Salt Lake City Area of Responsibility
NWHNVNC,NEW HANOVER CO DET CENTER,NA
NWRCCMN,NW REGIONAL CORRECTIONS CENTER,St. Paul Area of Responsibility
NWREGVA,NORTHWEST REG. ADULT DET.,Washington Area of Responsibility
NYADIRC,"ADIRONDACK CF, RAYBROOK",New York City Area of Responsibility
NYBUFFC,"BUFFALO CF, ALDEN,NY",New York City Area of Responsibility
NYCHOLD,NYC HOLD ROOM,New York City Area of Responsibility
NYEASTC,EASTERN C.F. NAPANOCH,New York City Area of Responsibility
NYEPANV,NYE COUNTY SHERIFF-PAHRUMP,Salt Lake City Area of Responsibility
NYFISHC,FISHKILL C.F. BEACON NY,New York City Area of Responsibility
NYGREAC,GREAT MEADOW C.F.,New York City Area of Responsibility
NYGROVC,GROVELAND C.F. SONYEA,New York City Area of Responsibility
