detention_facility_code,detention_facility,area_of_responsibility
BOPLTL,"LA TUNA FEDERAL SATTELITE, LOW",El Paso Area of Responsibility
BOPMCR,MCCREARY USP,Chicago Area of Responsibility
BOPMIA,MIAMI FCI (FORMER MCC),Miami Area of Responsibility
BOPMIM,MIAMI FED.DET.CENTER,Miami Area of Responsibility
BOPMRG,MORGANTOWN FED.CORR.INST.,Philadelphia Area of Responsibility
BOPMVC,MOSHANNON VALLEY CORRECTIONAL,Philadelphia Area of Responsibility
BOPNEO,NORTHEAST OHIO CORRECTIONAL CENTER,NA
BOPOAD,OAKDALE FED.DET.CENTER,New Orleans Area of Responsibility
BOPPET,PETERSBURG FED.CORR.INST.,Washington Area of Responsibility
BOPPHX,PHOENIX FED.CORR.INST.,Phoenix Area of Responsibility
BOPPOL,POLLOCK USP,New Orleans Area of Responsibility
BOPRAE,"MCRAE CORRECTIONAL FACILITY, CCA",Atlanta Area of Responsibility
BOPRBK,RAY BROOK FED.CORR.INST.,New York City Area of Responsibility
BOPSDC,SAN DIEGO MCC,San Diego Area of Responsibility
BOPSET,SEATAC FED.DET.CENTER,Seattle Area of Responsibility
BOPSHE,SHERIDAN FED.CORR.INST.,Seattle Area of Responsibility
BOPSPG,SPRINGFIELD FED.MED.CNTR,Chicago Area of Responsibility
BOPTCN,TUCSON FED.CORR.INST.,Phoenix Area of Responsibility
BOPTCP,US PENITENTIARY TUCSON,Phoenix Area of Responsibility
BOPTHA,TERRE HAUTE USP,Chicago Area of Responsibility
BOPTRV,THREE RIVERS FCI,San Antonio Area of Responsibility
BOPVIM,FCI VICTORVILLE,Los Angeles Area of Responsibility
BOSHOLD,BOSTON HOLDROOM,Boston Area of Responsibility
BOSSRLA,BOSSIER PARISH COR. CENTER,New Orleans Area of Responsibility
BOTTIND,BOTTINEAU CO. ND JAIL,St. Paul Area of Responsibility
BPC,BOSTON SPC,Boston Area of Responsibility
BRADEFL,BRADENTON DETENTION CENTER,NA
BRANCMI,"BRANCH CO, COLDWATER, MI",Detroit Area of Responsibility
BRCHOLD,BRUSH HOLDROOM,NA
BRDFDFL,BRADFORD COUNTY JAIL,Miami Area of Responsibility
BREMEIA,"BREMER CO JAIL, IOWA",St. Paul Area of Responsibility
BRGMCFL,BROWARD GENERAL MEDICAL CENTER,Miami Area of Responsibility
BRINDMA,BRISTOL CNTY NDARTMOUTH,Boston Area of Responsibility
BRKHOLD,BERKS HOLD ROOM,Philadelphia Area of Responsibility
BROCRFL,BROWARD CORRECTIONAL,Miami Area of Responsibility
BROJAFL,BROWARD COUNTY JAIL,Miami Area of Responsibility
BROKSTX,BROOKS COUNTY JAIL (CONTRACT),NA
BROMMNY,BROOME COUNTY JAIL,New York City Area of Responsibility
BROWNSD,BROWN COUNTY JAIL,St. Paul Area of Responsibility
BROWNWI,BROWN COUNTY JAIL,Chicago Area of Responsibility
BRWNSTX,BROWNSVILLE POLICE DEPT.,Harlingen Area of Responsibility
BSAHOLD,BROADVIEW SERVICE STAGING,Chicago Area of Responsibility
BSCHOLD,BIG SPRING HOLD ROOM,Dallas Area of Responsibility
BSCORTX,BSCC AIRPARK UNIT,Dallas Area of Responsibility
BSFLTTX,BSCC FLIGHTLINE UNIT,Dallas Area of Responsibility
BSQUETX,BOSQUE COUNTY SHERIFF'S DEPT.,Houston Area of Responsibility
BSTAYTX,BAYLOR SCOTT WHITE MD CTR,San Antonio Area of Responsibility
BSWRRTX,BAYLOR SCOTT WHITE MED RR,San Antonio Area of Responsibility
BTV,BUFFALO SPC,Buffalo Area of Responsibility
BUFHOLD,BUFFALO HOLD ROOM,NA
BURLEND,"BURLEIGH CO. JAIL, ND",St. Paul Area of Responsibility
BURNETX,BURNET COUNTY JAIL,San Antonio Area of Responsibility
BUTLEKS,BUTLER COUNTY JAIL,Chicago Area of Responsibility
BUTLEOH,BUTLER COUNTY JAIL,Detroit Area of Responsibility
BWDGICA,BEST WESTERN DRAGON GATE INN,Los Angeles Area of Responsibility
